#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
454.988892,1000,1829.464974,0.0
438.644514,1000,1831.988759,0.0
402.966504,1000,1835.695851,1.0
330.557583,1000,1838.239552,1.0
528.482787,1000,1841.998586,0.0
480.659332,1000,1844.569633,0.0
441.199768,1000,1848.286347,1.0
374.860155,1000,1850.814753,0.0
600.902829,1000,1854.565834,0.0
537.765054,1000,1857.080583,0.0
456.401434,1000,1859.645943,0.0
383.358267,1000,1863.311998,0.0
222.405356,1000,1865.893267,0.0
450.461244,1000,1869.610553,0.0
282.571714,1000,1872.214256,0.0
390.028482,1000,1875.897304,0.0
440.319017,1000,1878.423883,0.0
414.363646,1000,1882.243602,0.0
288.279121,1000,1885.109169,0.0
546.363625,1000,1888.931924,0.0
390.420218,1000,1891.566319,1.0
519.696518,1000,1895.57638,0.0
426.173785,1000,1898.125221,0.0
428.537184,1000,1902.027509,0.0
519.800742,1000,1904.587664,0.0
524.329195,1000,1908.398453,0.0
316.619372,1000,1911.019078,0.0
509.83119,1000,1914.894626,0.0
495.925396,1000,1917.522873,0.0
376.344429,1000,1921.468226,0.0
350.560041,1000,1924.116602,0.0
339.745252,1000,1927.958062,0.0
464.187082,1000,1930.576698,0.0
520.162788,1000,1934.449782,0.0
417.232022,1000,1937.111821,0.0
594.293682,1000,1941.01677,0.0
404.084378,1000,1943.582939,0.0
630.807276,1000,1947.489629,0.0
255.572322,1000,1950.047228,0.0
392.361713,1000,1953.963546,0.0
388.476392,1000,1956.495654,0.0
380.618299,1000,1960.284931,0.0
594.620026,1000,1962.88177,0.0
517.223926,1000,1966.734678,0.0
325.128537,1000,1969.278575,0.0
604.955306,1000,1973.240977,0.0
331.328519,1000,1975.774476,0.0
456.604729,1000,1979.710761,0.0
412.484932,1000,1982.227047,0.0
449.430143,1000,1986.049404,0.0
370.452971,1000,1988.626898,0.0
396.369915,1000,1992.395478,1.0
360.397219,1000,1994.942641,0.0
357.983551,1000,1997.472891,0.0
280.417413,1000,2001.20856,0.0
440.426818,1000,2003.794222,0.0
333.297262,1000,2007.457814,0.0
440.620997,1000,2010.071384,0.0
383.286708,1000,2013.740754,0.0
496.628531,1000,2016.269343,0.0
571.081439,1000,2019.992032,0.0
371.570548,1000,2022.495533,0.0
440.266925,1000,2026.173385,0.0
274.621637,1000,2028.67325,0.0
340.911356,1000,2032.407968,0.0
522.729668,1000,2035.007836,0.0
409.238129,1000,2038.710102,1.0
516.060416,1000,2041.290769,0.0
349.814503,1000,2045.189385,0.0
436.688297,1000,2047.970365,0.0
453.032838,1000,2051.671786,0.0
